,Date,Price(USD),Currency
1,2013-04-29,6.659999999999997,bitcoin
2,2013-04-30,-6.659999999999997,bitcoin
3,2013-05-01,-18.30000000000001,bitcoin
4,2013-05-02,-13.569999999999993,bitcoin
5,2013-05-03,-12.420000000000002,bitcoin
6,2013-05-04,20.239999999999995,bitcoin
7,2013-05-05,5.540000000000006,bitcoin
8,2013-05-06,1.539999999999992,bitcoin
9,2013-05-07,-11.929999999999993,bitcoin
10,2013-05-08,6.239999999999995,bitcoin
11,2013-05-09,0.35999999999999943,bitcoin
12,2013-05-10,5.780000000000001,bitcoin
13,2013-05-11,-5.769999999999996,bitcoin
14,2013-05-12,1.7029999999999887,bitcoin
15,2013-05-13,2.467000000000013,bitcoin
16,2013-05-14,-2.680000000000007,bitcoin
17,2013-05-15,-0.3439999999999941,bitcoin
18,2013-05-16,1.343999999999994,bitcoin
19,2013-05-17,7.599999999999994,bitcoin
20,2013-05-18,0.7800000000000011,bitcoin
21,2013-05-19,-3.3789999999999907,bitcoin
22,2013-05-20,2.0789999999999935,bitcoin
23,2013-05-21,0.3200000000000074,bitcoin
24,2013-05-22,0.09999999999999432,bitcoin
25,2013-05-23,2.7480000000000047,bitcoin
26,2013-05-24,5.951999999999984,bitcoin
27,2013-05-25,-0.9299999999999784,bitcoin
28,2013-05-26,3.829999999999984,bitcoin
29,2013-05-27,-5.614999999999981,bitcoin
30,2013-05-28,0.1939999999999884,bitcoin
31,2013-05-29,2.9509999999999934,bitcoin
32,2013-05-30,-4.728999999999999,bitcoin
33,2013-05-31,0.5790000000000077,bitcoin
34,2013-06-01,1.1099999999999994,bitcoin
35,2013-06-02,-7.790000000000006,bitcoin
36,2013-06-03,-0.14000000000000057,bitcoin
37,2013-06-05,0.1490000000000009,bitcoin
38,2013-06-06,0.40500000000000114,bitcoin
39,2013-06-07,-2.7139999999999986,bitcoin
40,2013-06-08,-8.909999999999997,bitcoin
41,2013-06-09,-1.6890000000000072,bitcoin
42,2013-06-10,-8.651299999999992,bitcoin
